,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
1687,2541.0,,Steenpoort,2.0,8500.0,Kortrijk,West-Vlaanderen,"glvl, EHBO lokaal",,,,"Steenpoort,2.0,West-Vlaanderen,Belgium",50.8271486,3.2696789,"[(50.82756, 3.266909), (50.82756, 3.267231), (50.827603, 3.26736), (50.827689, 3.26736), (50.827775, 3.267274), (50.827904, 3.267231), (50.828032, 3.267274), (50.828075, 3.267403), (50.828075, 3.267918), (50.828032, 3.268046), (50.827947, 3.268132), (50.827904, 3.268261), (50.827947, 3.26839), (50.828118, 3.268561), (50.828247, 3.268604), (50.828419, 3.268604), (50.828547, 3.268647), (50.828719, 3.268819), (50.828719, 3.268905), (50.82829, 3.269334), (50.828247, 3.269463), (50.828247, 3.269806), (50.828204, 3.269935), (50.827603, 3.270535), (50.827603, 3.270621), (50.827689, 3.270707), (50.827775, 3.270965), (50.827861, 3.27105), (50.827904, 3.271179), (50.827904, 3.271351), (50.827947, 3.27148), (50.828032, 3.271565), (50.828075, 3.271694), (50.828075, 3.271866), (50.828032, 3.271995), (50.827861, 3.272166), (50.827603, 3.272252), (50.827518, 3.272338), (50.82726, 3.272424), (50.827174, 3.272681), (50.827088, 3.272681), (50.827003, 3.272424), (50.826831, 3.272252), (50.826573, 3.272166), (50.826488, 3.27208), (50.82623, 3.271995), (50.826187, 3.271866), (50.826187, 3.270836), (50.826144, 3.270707), (50.826058, 3.270621), (50.825973, 3.270364), (50.825887, 3.270278), (50.825844, 3.270149), (50.825887, 3.27002), (50.825973, 3.269935), (50.825973, 3.269849), (50.825887, 3.269763), (50.825801, 3.269506), (50.825715, 3.26942), (50.825715, 3.269334), (50.825801, 3.269248), (50.825801, 3.269162), (50.825715, 3.269076), (50.825672, 3.268948), (50.825672, 3.268604), (50.825715, 3.268476), (50.825973, 3.26839), (50.826316, 3.268046), (50.826359, 3.267918), (50.826316, 3.267789), (50.826058, 3.267531), (50.825973, 3.267274), (50.825887, 3.267188), (50.825844, 3.267059), (50.825887, 3.266931), (50.826015, 3.266888), (50.826144, 3.266931), (50.82623, 3.267188), (50.826316, 3.267274), (50.826402, 3.267531), (50.826573, 3.267703), (50.826702, 3.267746), (50.826831, 3.267703), (50.827003, 3.267531), (50.827088, 3.267274), (50.827346, 3.267016), (50.827432, 3.266759), (50.827518, 3.266737), (50.82756, 3.266802), (50.82756, 3.266909)]"
1688,2542.0,,Steenpoort,2.0,8500.0,KORTRIJK,West-Vlaanderen,verdieping +2 dispatch security,,,,"Steenpoort,2.0,West-Vlaanderen,Belgium",50.8271486,3.2696789,"[(50.82756, 3.266909), (50.82756, 3.267231), (50.827603, 3.26736), (50.827689, 3.26736), (50.827775, 3.267274), (50.827904, 3.267231), (50.828032, 3.267274), (50.828075, 3.267403), (50.828075, 3.267918), (50.828032, 3.268046), (50.827947, 3.268132), (50.827904, 3.268261), (50.827947, 3.26839), (50.828118, 3.268561), (50.828247, 3.268604), (50.828419, 3.268604), (50.828547, 3.268647), (50.828719, 3.268819), (50.828719, 3.268905), (50.82829, 3.269334), (50.828247, 3.269463), (50.828247, 3.269806), (50.828204, 3.269935), (50.827603, 3.270535), (50.827603, 3.270621), (50.827689, 3.270707), (50.827775, 3.270965), (50.827861, 3.27105), (50.827904, 3.271179), (50.827904, 3.271351), (50.827947, 3.27148), (50.828032, 3.271565), (50.828075, 3.271694), (50.828075, 3.271866), (50.828032, 3.271995), (50.827861, 3.272166), (50.827603, 3.272252), (50.827518, 3.272338), (50.82726, 3.272424), (50.827174, 3.272681), (50.827088, 3.272681), (50.827003, 3.272424), (50.826831, 3.272252), (50.826573, 3.272166), (50.826488, 3.27208), (50.82623, 3.271995), (50.826187, 3.271866), (50.826187, 3.270836), (50.826144, 3.270707), (50.826058, 3.270621), (50.825973, 3.270364), (50.825887, 3.270278), (50.825844, 3.270149), (50.825887, 3.27002), (50.825973, 3.269935), (50.825973, 3.269849), (50.825887, 3.269763), (50.825801, 3.269506), (50.825715, 3.26942), (50.825715, 3.269334), (50.825801, 3.269248), (50.825801, 3.269162), (50.825715, 3.269076), (50.825672, 3.268948), (50.825672, 3.268604), (50.825715, 3.268476), (50.825973, 3.26839), (50.826316, 3.268046), (50.826359, 3.267918), (50.826316, 3.267789), (50.826058, 3.267531), (50.825973, 3.267274), (50.825887, 3.267188), (50.825844, 3.267059), (50.825887, 3.266931), (50.826015, 3.266888), (50.826144, 3.266931), (50.82623, 3.267188), (50.826316, 3.267274), (50.826402, 3.267531), (50.826573, 3.267703), (50.826702, 3.267746), (50.826831, 3.267703), (50.827003, 3.267531), (50.827088, 3.267274), (50.827346, 3.267016), (50.827432, 3.266759), (50.827518, 3.266737), (50.82756, 3.266802), (50.82756, 3.266909)]"
1773,2632.0,,Eikenstraat ,9.0,2000.0,Antwerpen,Antwerpen,dispatching -1,,,,"Eikenstraat ,9.0,Antwerpen,Belgium",51.2189682,4.4103628,"[(51.219163, 4.408243), (51.219249, 4.408307), (51.219335, 4.408565), (51.219592, 4.408822), (51.219678, 4.40908), (51.219764, 4.409165), (51.219807, 4.409294), (51.219807, 4.409981), (51.219764, 4.41011), (51.219678, 4.410195), (51.219635, 4.410324), (51.219635, 4.411011), (51.219678, 4.411139), (51.21985, 4.411311), (51.219978, 4.411354), (51.220322, 4.411354), (51.22045, 4.411397), (51.220493, 4.411526), (51.22045, 4.411654), (51.220322, 4.411697), (51.22015, 4.411697), (51.220021, 4.411654), (51.219935, 4.411569), (51.219807, 4.411526), (51.219678, 4.411569), (51.219635, 4.411697), (51.219635, 4.412384), (51.219592, 4.412513), (51.21942, 4.412684), (51.219335, 4.412684), (51.219292, 4.412556), (51.219292, 4.411354), (51.219335, 4.411225), (51.21942, 4.411139), (51.219463, 4.411011), (51.219463, 4.410667), (51.21942, 4.410539), (51.219292, 4.410496), (51.219163, 4.410539), (51.21912, 4.410667), (51.21912, 4.411182), (51.219077, 4.411311), (51.218948, 4.411354), (51.21882, 4.411311), (51.218777, 4.411182), (51.218777, 4.410667), (51.218734, 4.410539), (51.218605, 4.410496), (51.218262, 4.410496), (51.218133, 4.410539), (51.21809, 4.410667), (51.21809, 4.411182), (51.218133, 4.411311), (51.218219, 4.411397), (51.218262, 4.411526), (51.218262, 4.412212), (51.218219, 4.412341), (51.218133, 4.412341), (51.21809, 4.412212), (51.21809, 4.411869), (51.218047, 4.41174), (51.217961, 4.411654), (51.217918, 4.411526), (51.217918, 4.410667), (51.217875, 4.410539), (51.217747, 4.410496), (51.217232, 4.410496), (51.217103, 4.410539), (51.217017, 4.410625), (51.216888, 4.410667), (51.216717, 4.410667), (51.216588, 4.410625), (51.216545, 4.410496), (51.216588, 4.410367), (51.216717, 4.410324), (51.217403, 4.410324), (51.217532, 4.410281), (51.217618, 4.410195), (51.217875, 4.41011), (51.217918, 4.409981), (51.217918, 4.408779), (51.217961, 4.40865), (51.21809, 4.408607), (51.218219, 4.40865), (51.218262, 4.408779), (51.218262, 4.409466), (51.218219, 4.409595), (51.218133, 4.40968), (51.21809, 4.409809), (51.21809, 4.409981), (51.218133, 4.41011), (51.218262, 4.410152), (51.218777, 4.410152), (51.218905, 4.410195), (51.218991, 4.410281), (51.21912, 4.410324), (51.219292, 4.410324), (51.21942, 4.410281), (51.219463, 4.410152), (51.219463, 4.409809), (51.219506, 4.40968), (51.219592, 4.409595), (51.219635, 4.409466), (51.219592, 4.409337), (51.219506, 4.409251), (51.21942, 4.408994), (51.218991, 4.408565), (51.218948, 4.408436), (51.218948, 4.408264), (51.218991, 4.408135), (51.219077, 4.408114), (51.219163, 4.408243)]"
1795,2655.0,,Rijnkaai ,37.0,2000.0,Antwerpen,Antwerpen,"7e verd, links aan receptie",,,,"Rijnkaai ,37.0,Antwerpen,Belgium",51.2313153,4.4029316,"[(51.231351, 4.40172), (51.231437, 4.401784), (51.231523, 4.40187), (51.231651, 4.401913), (51.232166, 4.401913), (51.232295, 4.401956), (51.232295, 4.402041), (51.232038, 4.402127), (51.231995, 4.402256), (51.231995, 4.402599), (51.232038, 4.402728), (51.232166, 4.402771), (51.232295, 4.402728), (51.232295, 4.402642), (51.232209, 4.402556), (51.232209, 4.402471), (51.232338, 4.402428), (51.232681, 4.402428), (51.23281, 4.402471), (51.233068, 4.402728), (51.233196, 4.402771), (51.233368, 4.402771), (51.233497, 4.402814), (51.233668, 4.402986), (51.233668, 4.403071), (51.23354, 4.403114), (51.233196, 4.403114), (51.233068, 4.403157), (51.233025, 4.403286), (51.233025, 4.403973), (51.232982, 4.404101), (51.232896, 4.404101), (51.232853, 4.403973), (51.232853, 4.403286), (51.23281, 4.403157), (51.232681, 4.403114), (51.231651, 4.403114), (51.231523, 4.403157), (51.23148, 4.403286), (51.23148, 4.403629), (51.231523, 4.403758), (51.231608, 4.403844), (51.231651, 4.403973), (51.231608, 4.404101), (51.231523, 4.404187), (51.23148, 4.404316), (51.23148, 4.404831), (51.231523, 4.40496), (51.231608, 4.405046), (51.231608, 4.405131), (51.231523, 4.405217), (51.23148, 4.405346), (51.23148, 4.406548), (51.231437, 4.406676), (51.231308, 4.406719), (51.231179, 4.406676), (51.231136, 4.406548), (51.231136, 4.405861), (51.231093, 4.405732), (51.231008, 4.405646), (51.230965, 4.405518), (51.230965, 4.404316), (51.230922, 4.404187), (51.230793, 4.404144), (51.230278, 4.404144), (51.230149, 4.404101), (51.230149, 4.404016), (51.230278, 4.403973), (51.230793, 4.403973), (51.230922, 4.40393), (51.230965, 4.403801), (51.230965, 4.403629), (51.230922, 4.403501), (51.230836, 4.403415), (51.23075, 4.403157), (51.230493, 4.4029), (51.230407, 4.402642), (51.230321, 4.402642), (51.230278, 4.402771), (51.230278, 4.403629), (51.230235, 4.403758), (51.230149, 4.403758), (51.230106, 4.403629), (51.230106, 4.403114), (51.230063, 4.402986), (51.229806, 4.4029), (51.229634, 4.402728), (51.229591, 4.402599), (51.229591, 4.402256), (51.229548, 4.402127), (51.22942, 4.402084), (51.229076, 4.402084), (51.228948, 4.402041), (51.228905, 4.401913), (51.228948, 4.401784), (51.229076, 4.401741), (51.22942, 4.401741), (51.229548, 4.401784), (51.229634, 4.40187), (51.229763, 4.401913), (51.229935, 4.401913), (51.230063, 4.401956), (51.230321, 4.402213), (51.230578, 4.402299), (51.230836, 4.402556), (51.230922, 4.402556), (51.230965, 4.402428), (51.230965, 4.401741), (51.231008, 4.401612), (51.231136, 4.401569), (51.231265, 4.401591), (51.231351, 4.40172)]"
1796,2656.0,,Braderijstraat,11.0,2000.0,Antwerpen,Antwerpen,"glvl, receptiebalie",,,,"Braderijstraat,11.0,Antwerpen,Belgium",51.222223,4.3998106,"[(51.22251, 4.397256), (51.222425, 4.397321), (51.222425, 4.397407), (51.222682, 4.397492), (51.222768, 4.39775), (51.222854, 4.397836), (51.222939, 4.398093), (51.223197, 4.398179), (51.223369, 4.398351), (51.223412, 4.398479), (51.223412, 4.398651), (51.223369, 4.39878), (51.223283, 4.398866), (51.22324, 4.398994), (51.223283, 4.399123), (51.223412, 4.399166), (51.223755, 4.399166), (51.223884, 4.399123), (51.223969, 4.398866), (51.224098, 4.398823), (51.224227, 4.398866), (51.224399, 4.399037), (51.224442, 4.399166), (51.224399, 4.399295), (51.223798, 4.399896), (51.223755, 4.400024), (51.223755, 4.400368), (51.223798, 4.400496), (51.224055, 4.400582), (51.224098, 4.400711), (51.224055, 4.40084), (51.223969, 4.40084), (51.223884, 4.400754), (51.223755, 4.400711), (51.223412, 4.400711), (51.223283, 4.400754), (51.223111, 4.400926), (51.223068, 4.401054), (51.223068, 4.401398), (51.223025, 4.401526), (51.222939, 4.401612), (51.222897, 4.401741), (51.222897, 4.402084), (51.222854, 4.402213), (51.222725, 4.402256), (51.222596, 4.402213), (51.222553, 4.402084), (51.222596, 4.401956), (51.222682, 4.40187), (51.222725, 4.401741), (51.222725, 4.401569), (51.222682, 4.401441), (51.22251, 4.401269), (51.222382, 4.401226), (51.22221, 4.401226), (51.222081, 4.401183), (51.221995, 4.401097), (51.22191, 4.401097), (51.221824, 4.401355), (51.221738, 4.401441), (51.221695, 4.401569), (51.221695, 4.403114), (51.221652, 4.403243), (51.221566, 4.403243), (51.221523, 4.403114), (51.221523, 4.402771), (51.22148, 4.402642), (51.221352, 4.402599), (51.221223, 4.402642), (51.221137, 4.402728), (51.221051, 4.402728), (51.221008, 4.402599), (51.221051, 4.402471), (51.221309, 4.402385), (51.221352, 4.402256), (51.221352, 4.401913), (51.221309, 4.401784), (51.22118, 4.401741), (51.220837, 4.401741), (51.220708, 4.401698), (51.220665, 4.401569), (51.220708, 4.401441), (51.220794, 4.401441), (51.22088, 4.401526), (51.220965, 4.401526), (51.221008, 4.401398), (51.221008, 4.400883), (51.221051, 4.400754), (51.221137, 4.400668), (51.22118, 4.400539), (51.221137, 4.400411), (51.221008, 4.400368), (51.22088, 4.400411), (51.220794, 4.400496), (51.220665, 4.400539), (51.220536, 4.400496), (51.220493, 4.400368), (51.220493, 4.400024), (51.22045, 4.399896), (51.220365, 4.399896), (51.220279, 4.399981), (51.22015, 4.400024), (51.220021, 4.399981), (51.220021, 4.399896), (51.220107, 4.39981), (51.220193, 4.399552), (51.22045, 4.399295), (51.22045, 4.399209), (51.220193, 4.398952), (51.22015, 4.398823), (51.22015, 4.398651), (51.220193, 4.398522), (51.220279, 4.398522), (51.22045, 4.398694), (51.220536, 4.398952), (51.220622, 4.398952), (51.220665, 4.398823), (51.220665, 4.398651), (51.220708, 4.398522), (51.220794, 4.398437), (51.220837, 4.398308), (51.220837, 4.397964), (51.22088, 4.397836), (51.221051, 4.397664), (51.221137, 4.397664), (51.221395, 4.397922), (51.221523, 4.397964), (51.221652, 4.397922), (51.221824, 4.39775), (51.221824, 4.397664), (51.221566, 4.397578), (51.221523, 4.397449), (51.221566, 4.397321), (51.221695, 4.397278), (51.221824, 4.397321), (51.22191, 4.397407), (51.222038, 4.397449), (51.222167, 4.397407), (51.222253, 4.397149), (51.222382, 4.397106), (51.22251, 4.397128), (51.222553, 4.397192), (51.22251, 4.397256)]"
1862,2724.0,,Hopland,24.0,2000.0,Antwerpen,Antwerpen,dispatching uitrit voertuigen,,,,"Hopland,24.0,Antwerpen,Belgium",51.2167179,4.4112526,"[(51.216545, 4.407942), (51.216545, 4.408607), (51.216588, 4.408736), (51.216674, 4.408736), (51.21676, 4.40865), (51.216888, 4.408607), (51.217017, 4.40865), (51.21706, 4.408779), (51.217017, 4.408908), (51.21676, 4.408994), (51.216717, 4.409122), (51.216717, 4.410152), (51.21676, 4.410281), (51.216888, 4.410324), (51.217403, 4.410324), (51.217532, 4.410281), (51.217618, 4.410195), (51.217747, 4.410152), (51.21809, 4.410152), (51.218219, 4.410195), (51.218262, 4.410324), (51.218219, 4.410453), (51.21809, 4.410496), (51.217232, 4.410496), (51.217103, 4.410539), (51.217017, 4.410625), (51.21676, 4.41071), (51.216717, 4.410839), (51.21676, 4.410968), (51.216846, 4.411054), (51.216888, 4.411182), (51.216888, 4.412212), (51.216931, 4.412341), (51.21706, 4.412384), (51.217403, 4.412384), (51.217532, 4.412427), (51.217618, 4.412513), (51.217747, 4.412556), (51.21809, 4.412556), (51.218219, 4.412599), (51.218262, 4.412727), (51.218219, 4.412856), (51.21809, 4.412899), (51.217918, 4.412899), (51.21779, 4.412856), (51.217704, 4.41277), (51.217575, 4.412727), (51.217232, 4.412727), (51.217103, 4.412684), (51.217017, 4.412599), (51.216931, 4.412599), (51.216888, 4.412727), (51.216888, 4.413242), (51.216931, 4.413371), (51.217189, 4.413629), (51.217189, 4.413714), (51.21706, 4.413757), (51.216888, 4.413757), (51.21676, 4.4138), (51.216717, 4.413929), (51.21676, 4.414058), (51.217017, 4.414315), (51.217017, 4.414401), (51.216888, 4.414444), (51.21676, 4.414401), (51.216674, 4.414315), (51.216416, 4.414229), (51.216373, 4.414101), (51.216373, 4.413929), (51.216416, 4.4138), (51.216502, 4.413714), (51.216545, 4.413586), (51.216545, 4.412212), (51.216502, 4.412084), (51.216373, 4.412041), (51.215858, 4.412041), (51.21573, 4.412084), (51.215644, 4.412341), (51.215472, 4.412513), (51.215386, 4.412513), (51.215215, 4.412341), (51.215172, 4.412212), (51.215215, 4.412084), (51.215644, 4.411654), (51.215687, 4.411526), (51.215687, 4.410839), (51.215644, 4.41071), (51.215515, 4.410667), (51.215343, 4.410667), (51.215215, 4.410625), (51.215172, 4.410496), (51.215215, 4.410367), (51.215301, 4.410367), (51.215386, 4.410453), (51.215472, 4.410453), (51.215558, 4.410367), (51.215687, 4.410324), (51.216373, 4.410324), (51.216502, 4.410281), (51.216545, 4.410152), (51.216545, 4.409637), (51.216502, 4.409509), (51.216331, 4.409337), (51.216202, 4.409294), (51.215858, 4.409294), (51.21573, 4.409251), (51.21573, 4.409165), (51.215858, 4.409122), (51.216202, 4.409122), (51.216331, 4.40908), (51.216373, 4.408951), (51.216373, 4.407921), (51.216416, 4.407792), (51.216502, 4.407771), (51.216545, 4.407835), (51.216545, 4.407942)]"
1866,2728.0,,Lamorinièrestraat ,231.0,2018.0,Antwerpen,Antwerpen,"glvl, inkomhal",,,,"Lamorinièrestraat ,231.0,Antwerpen,Belgium",51.2035955,4.420659,"[(51.202641, 4.4191), (51.202598, 4.419208), (51.202512, 4.419293), (51.202469, 4.419422), (51.202512, 4.419551), (51.202855, 4.419894), (51.203113, 4.41998), (51.203885, 4.420753), (51.204143, 4.420838), (51.204572, 4.421268), (51.204829, 4.421353), (51.205516, 4.42204), (51.205516, 4.422126), (51.205387, 4.422169), (51.205258, 4.422126), (51.205173, 4.42204), (51.204915, 4.421954), (51.204486, 4.421525), (51.2044, 4.421525), (51.204357, 4.421654), (51.204357, 4.422855), (51.204314, 4.422984), (51.204228, 4.42307), (51.204185, 4.423199), (51.204185, 4.423542), (51.204143, 4.423671), (51.204057, 4.423671), (51.204014, 4.423542), (51.204014, 4.422169), (51.204057, 4.42204), (51.204143, 4.421954), (51.204185, 4.421825), (51.204185, 4.421482), (51.204143, 4.421353), (51.203456, 4.420667), (51.203198, 4.420581), (51.202598, 4.41998), (51.20234, 4.419894), (51.202254, 4.419808), (51.201997, 4.419723), (51.201954, 4.419594), (51.201954, 4.419422), (51.201997, 4.419293), (51.202254, 4.419208), (51.202512, 4.41895), (51.202598, 4.418929), (51.202641, 4.418993), (51.202641, 4.4191)]"
1872,2734.0,,President Kennedypark ,12.0,8500.0,Kortrijk,West-Vlaanderen,"glvl, inkombalie",,,,"President Kennedypark ,12.0,West-Vlaanderen,Belgium",50.8004697,3.2735276,"[(50.800438, 3.272917), (50.800438, 3.273067), (50.800481, 3.273196), (50.800567, 3.273282), (50.80061, 3.273411), (50.80061, 3.273754), (50.800653, 3.273883), (50.800738, 3.273969), (50.800781, 3.274097), (50.800781, 3.274441), (50.800824, 3.27457), (50.80091, 3.274655), (50.800953, 3.274784), (50.800953, 3.274956), (50.800996, 3.275084), (50.801125, 3.275127), (50.801253, 3.275084), (50.801511, 3.274827), (50.801597, 3.274827), (50.80164, 3.274956), (50.80164, 3.275471), (50.801597, 3.275599), (50.801511, 3.275599), (50.801425, 3.275342), (50.801339, 3.275342), (50.801167, 3.275514), (50.801125, 3.275642), (50.801125, 3.275986), (50.801167, 3.276114), (50.801253, 3.2762), (50.801296, 3.276329), (50.801296, 3.277016), (50.801253, 3.277144), (50.801167, 3.277144), (50.801125, 3.277016), (50.801125, 3.276672), (50.801082, 3.276544), (50.800996, 3.276458), (50.800953, 3.276329), (50.800953, 3.276157), (50.80091, 3.276029), (50.800824, 3.276029), (50.800738, 3.276114), (50.80061, 3.276157), (50.800481, 3.276114), (50.800438, 3.275986), (50.800438, 3.275814), (50.800481, 3.275685), (50.800567, 3.275599), (50.800653, 3.275342), (50.800738, 3.275256), (50.800781, 3.275127), (50.800781, 3.274956), (50.800738, 3.274827), (50.800653, 3.274741), (50.80061, 3.274612), (50.80061, 3.274441), (50.800567, 3.274312), (50.800481, 3.274226), (50.800438, 3.274097), (50.800438, 3.273754), (50.800395, 3.273625), (50.800309, 3.27354), (50.800266, 3.273411), (50.800266, 3.273239), (50.800223, 3.27311), (50.800138, 3.273025), (50.800095, 3.272896), (50.800138, 3.272767), (50.800266, 3.272724), (50.800395, 3.272746), (50.800438, 3.27281), (50.800438, 3.272917)]"
1892,2755.0,,Desquinlei ,244.0,2018.0,Antwerpen,Antwerpen,"glvl, overdekte Aula",,,,"Desquinlei ,244.0,Antwerpen,Belgium",51.194908,4.4044371,"[(51.194744, 4.401248), (51.194744, 4.401398), (51.194701, 4.401526), (51.194615, 4.401612), (51.194572, 4.401741), (51.194615, 4.40187), (51.194701, 4.401956), (51.194787, 4.402213), (51.194873, 4.402299), (51.194916, 4.402428), (51.194873, 4.402556), (51.194787, 4.402642), (51.194787, 4.402728), (51.195045, 4.402986), (51.195087, 4.403114), (51.195045, 4.403243), (51.194959, 4.403329), (51.194959, 4.403415), (51.195388, 4.403844), (51.195474, 4.404101), (51.195731, 4.404359), (51.195817, 4.404616), (51.196074, 4.404874), (51.19616, 4.405131), (51.196589, 4.40556), (51.196675, 4.405818), (51.196933, 4.406075), (51.196976, 4.406204), (51.196933, 4.406333), (51.196804, 4.406376), (51.196675, 4.406333), (51.196589, 4.406075), (51.196332, 4.405818), (51.196246, 4.40556), (51.195989, 4.405303), (51.195903, 4.405046), (51.195474, 4.404616), (51.195388, 4.404359), (51.19513, 4.404101), (51.195045, 4.403844), (51.19453, 4.403329), (51.194444, 4.403329), (51.194401, 4.403458), (51.194401, 4.403629), (51.194358, 4.403758), (51.194272, 4.403844), (51.194229, 4.403973), (51.194229, 4.404488), (51.194186, 4.404616), (51.1941, 4.404616), (51.194057, 4.404488), (51.194057, 4.403458), (51.1941, 4.403329), (51.194186, 4.403243), (51.194229, 4.403114), (51.194229, 4.402771), (51.194186, 4.402642), (51.193757, 4.402213), (51.193714, 4.402084), (51.193714, 4.401741), (51.193757, 4.401612), (51.193886, 4.401569), (51.194015, 4.401612), (51.1941, 4.401698), (51.194229, 4.401741), (51.194358, 4.401698), (51.194401, 4.401569), (51.194401, 4.401398), (51.194444, 4.401269), (51.194615, 4.401097), (51.194701, 4.401076), (51.194744, 4.40114), (51.194744, 4.401248)]"
1930,2798.0,,Armenstraatje,,2040.0,Antwerpen,Antwerpen,,,,,"Armenstraatje,,Antwerpen,Belgium",51.3577063,4.3171467,"[(51.359196, 4.316275), (51.359196, 4.317112), (51.359153, 4.317241), (51.359067, 4.317327), (51.359024, 4.317455), (51.359024, 4.318142), (51.358981, 4.318271), (51.358852, 4.318314), (51.358724, 4.318271), (51.358681, 4.318142), (51.358681, 4.31797), (51.358724, 4.317842), (51.358809, 4.317756), (51.358852, 4.317627), (51.358809, 4.317498), (51.358681, 4.317455), (51.358337, 4.317455), (51.358209, 4.317412), (51.358123, 4.317327), (51.357994, 4.317284), (51.357479, 4.317284), (51.35735, 4.317241), (51.357265, 4.317155), (51.357136, 4.317112), (51.356621, 4.317112), (51.356492, 4.317069), (51.356449, 4.31694), (51.356449, 4.316425), (51.356406, 4.316297), (51.35632, 4.316211), (51.35632, 4.316125), (51.356449, 4.316082), (51.356578, 4.316125), (51.356621, 4.316254), (51.356621, 4.316597), (51.356664, 4.316726), (51.356792, 4.316769), (51.356964, 4.316769), (51.357093, 4.316812), (51.357179, 4.316897), (51.357307, 4.31694), (51.357651, 4.31694), (51.35778, 4.316983), (51.357865, 4.317069), (51.357994, 4.317112), (51.358509, 4.317112), (51.358638, 4.317155), (51.358724, 4.317241), (51.358809, 4.317241), (51.358852, 4.317112), (51.358852, 4.31694), (51.358895, 4.316812), (51.358981, 4.316726), (51.359024, 4.316597), (51.359024, 4.316254), (51.359067, 4.316125), (51.359153, 4.316103), (51.359196, 4.316168), (51.359196, 4.316275)]"
