,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
9443,10938.0,,Beneluxpark,21.0,8500.0,Kortrijk,West-Vlaanderen,,Y,,,"Beneluxpark,21.0,West-Vlaanderen,Belgium",50.7999855,3.2794026,
9444,10939.0,,Beneluxpark,21.0,8500.0,Kortrijk,West-Vlaanderen,,Y,,,"Beneluxpark,21.0,West-Vlaanderen,Belgium",50.7999855,3.2794026,
9445,10940.0,,Beneluxpark,21.0,8500.0,Kortrijk,West-Vlaanderen,,Y,,,"Beneluxpark,21.0,West-Vlaanderen,Belgium",50.7999855,3.2794026,
9473,10968.0,,Noorderlaan,69.0,2030.0,Antwerpen,Antwerpen,,Y,,,"Noorderlaan,69.0,Antwerpen,Belgium",51.2697864,4.3766281,
9497,10998.0,,Markgraverstraat,10.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Markgraverstraat,10.0,Antwerpen,Belgium",51.2213404,4.4051485,
9534,11037.0,,Godefriduskaai,16.0,2000.0,Antwerpen,Antwerpen,,,,,"Godefriduskaai,16.0,Antwerpen,Belgium",51.2281377,4.4084745,
9548,11052.0,,Oudeleeuwenrui,25.0,2000.0,Antwerpen,Antwerpen,,,,,"Oudeleeuwenrui,25.0,Antwerpen,Belgium",51.2269559,4.4088267,
9549,11053.0,,Meir,24.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Meir,24.0,Antwerpen,Belgium",51.2180888,4.4091154,
9558,11062.0,,Entrepotkaai ,15.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Entrepotkaai ,15.0,Antwerpen,Belgium",51.2292228,4.4114419,
9615,11123.0,,Scheldelaan,460.0,2040.0,Antwerpen,Antwerpen,,Y,,,"Scheldelaan,460.0,Antwerpen,Belgium",51.2998941,4.3074336,
9642,11153.0,,Hendrik Conscienceplein,12.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Hendrik Conscienceplein,12.0,Antwerpen,Belgium",51.2211008,4.4041753,
9645,11156.0,,Frankrijklei,101.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Frankrijklei,101.0,Antwerpen,Belgium",51.2151342,4.4127668,
9674,11186.0,,Godefriduskaai,12.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Godefriduskaai,12.0,Antwerpen,Belgium",51.2281377,4.4084745,
9685,11198.0,,Halewijnlaan,92.0,2050.0,Antwerpen,Antwerpen,,Y,,,"Halewijnlaan,92.0,Antwerpen,Belgium",51.2238538,4.3783458,
9729,11243.0,,President Kennedylaan,7.0,8500.0,Kortrijk,West-Vlaanderen,,Y,,,"President Kennedylaan,7.0,West-Vlaanderen,Belgium",51.2094416,3.2230032,
9860,11383.0,,Scheldelaan,8.0,2030.0,Antwerpen,Antwerpen,,Y,,,"Scheldelaan,8.0,Antwerpen,Belgium",51.2998941,4.3074336,
9910,11434.0,,Middelheimlaan,1.0,2020.0,Antwerpen,Antwerpen,,Y,,,"Middelheimlaan,1.0,Antwerpen,Belgium",51.183026,4.4156146,
9911,11435.0,,Ambtmanstraat,1.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Ambtmanstraat,1.0,Antwerpen,Belgium",51.222482,4.4059398,
9912,11436.0,,Printsstraat,13.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Printsstraat,13.0,Antwerpen,Belgium",51.4773183,4.5100551,
9913,11437.0,,Rodestraat,14.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Rodestraat,14.0,Antwerpen,Belgium",51.2234938,4.4139139,
9930,11455.0,,Maria Theresialei,,2018.0,Antwerpen,Antwerpen,,Y,,,"Maria Theresialei,,Antwerpen,Belgium",51.2958027,4.4371906,
10010,11535.0,,Cockerillkaai,18.0,2000.0,Antwerpen,Antwerpen,,Y,,,"Cockerillkaai,18.0,Antwerpen,Belgium",51.2120306,4.3897789,
